"","Group.1","Group.2","Group.3","Group.4","Group.5","x","Group.1","Group.2","Group.3","Group.4","Group.5","x"
"82","",116,"Cassey et al. , 2004","","Blackburn 2009",0.375,"",116,"Cassey et al. , 2004","","Blackburn 2009",0.39422868
"83","",232,"Cassey, 2002","","Blackburn 2009",0.125,"",232,"Cassey, 2002","","Blackburn 2009",0.125657214
"84","",120,"Duncan et al. , 2006","","Blackburn 2009",-0.0105,"",120,"Duncan et al. , 2006","","Blackburn 2009",-0.0105
"85","",120,"Duncan et al., 2006","","Blackburn 2009",0.144,"",120,"Duncan et al., 2006","","Blackburn 2009",0.1450084985
"86","",118,"McLain et al. , 1999","","Blackburn 2009",0.04,"",118,"McLain et al. , 1999","","Blackburn 2009",0.04
"87","",120,"McLain et al. , 1999","","Blackburn 2009",-0.172,"",120,"McLain et al. , 1999","","Blackburn 2009",-0.173726908
"88","",130,"McLain et al. , 1999","","Blackburn 2009",0.224,"",130,"McLain et al. , 1999","","Blackburn 2009",0.227863471
"89","",132,"McLain et al. , 1999","","Blackburn 2009",-0.219,"",132,"McLain et al. , 1999","","Blackburn 2009",-0.22260549
"90","",132,"McLain et al., 1999","","Blackburn 2009",0.252,"",132,"McLain et al., 1999","","Blackburn 2009",0.257547287
"91","",104,"Møller and Cassey , 2004","","Blackburn 2009",0.058,"",104,"Møller and Cassey , 2004","","Blackburn 2009",0.0581
"92","",110,"Møller and Cassey , 2004","","Blackburn 2009",-0.115,"",110,"Møller and Cassey , 2004","","Blackburn 2009",-0.115511019
"93","",104,"Møller and Cassey, 2004","","Blackburn 2009",0.399,"",104,"Møller and Cassey, 2004","","Blackburn 2009",0.42245902
"94","",110,"Moulton and Pimm , 1986","","Blackburn 2009",0.206,"",110,"Moulton and Pimm , 1986","","Blackburn 2009",0.208990458
"95","",108,"Moulton et al. , 2001","","Blackburn 2009",0.318,"",108,"Moulton et al. , 2001","","Blackburn 2009",0.329420529
"96","",146,"Sol et al., 2005","","Blackburn 2009",0.334,"",146,"Sol et al., 2005","","Blackburn 2009",0.347323778
"97","germination",135,"Saikkonen et al. 2010","neighbours (litter)","Castellanos, 2012",0.290397209,"germination",135,"Saikkonen et al. 2010","neighbours (litter)","Castellanos, 2012",0.299
"98","Geopelia cuneata",96,"Casagrande, unpublished","Oxidative damage (d-ROMs test)","Constantini, 2009",0.5371,"Geopelia cuneata",96,"Casagrande, unpublished","Oxidative damage (d-ROMs test)","Constantini, 2009",0.600070878
"99","Taeniopygia guttata",120,"Alonso-alvaraz et. al., 2004","Susceptibility of red blood cells to haemolyse","Constantini, 2009",0.1127,"Taeniopygia guttata",120,"Alonso-alvaraz et. al., 2004","Susceptibility of red blood cells to haemolyse","Constantini, 2009",0.113180815
"100","Geopelia cuneata",96,"Casagrande, unpublished","Total plasma antioxidant capacity","Constantini, 2009",0.5593,"Geopelia cuneata",96,"Casagrande, unpublished","Total plasma antioxidant capacity","Constantini, 2009",0.631813955
"101","Herbs",190,"Agrawal & Fishbein","Defense investment","Endara, 2011",-0.139092448,"Herbs",190,"Agrawal & Fishbein","Defense investment","Endara, 2011",-0.14
"102","Herbs",140,"Almeida-Cortéz et al., 2009","Defense investment","Endara, 2011",-0.2581788655,"Herbs",140,"Almeida-Cortéz et al., 2009","Defense investment","Endara, 2011",-0.27
"103","Woody",240,"Dudt & Shure, 1994","Defense investment","Endara, 2011",0.168381046,"Woody",240,"Dudt & Shure, 1994","Defense investment","Endara, 2011",0.17
"104","Woody",114,"Fine et. al. 2006","Defense investment","Endara, 2011",0.345214034,"Woody",114,"Fine et. al. 2006","Defense investment","Endara, 2011",0.36
"105","Woody",294,"Fine et. al. 2006","Defense investment","Endara, 2011",0.379948962,"Woody",294,"Fine et. al. 2006","Defense investment","Endara, 2011",0.4
"106","Woody",1033,"Holdo 2003","Defense investment","Endara, 2011",0.0898,"Woody",1033,"Holdo 2003","Defense investment","Endara, 2011",0.09
"107","Woody",480,"Howlett & Davidson, 2001","Defense investment","Endara, 2011",0.959534006,"Woody",480,"Howlett & Davidson, 2001","Defense investment","Endara, 2011",1.94
"108","Woody",180,"Massey et al. 2007","Defense investment","Endara, 2011",0.438199315,"Woody",180,"Massey et al. 2007","Defense investment","Endara, 2011",0.47
"109","Woody",140,"Matsuki, & Takayoshi, 2006","Defense investment","Endara, 2011",0.2069665,"Woody",140,"Matsuki, & Takayoshi, 2006","Defense investment","Endara, 2011",0.21
"110","Woody",96,"Miller & Woodrow 2008","Defense investment","Endara, 2011",0.9747107,"Woody",96,"Miller & Woodrow 2008","Defense investment","Endara, 2011",2.205
"111","Woody",287,"Reich, et al. 1992","Defense investment","Endara, 2011",0.597982,"Woody",287,"Reich, et al. 1992","Defense investment","Endara, 2011",0.69
"112","Woody",111,"Reich, et al. 1997","Defense investment","Endara, 2011",0.66959026,"Woody",111,"Reich, et al. 1997","Defense investment","Endara, 2011",0.81
"113","Woody",240,"Shure & Wilson 1993","Defense investment","Endara, 2011",0.371360228,"Woody",240,"Shure & Wilson 1993","Defense investment","Endara, 2011",0.39
"114","Woody",123,"Turner, 1995","Defense investment","Endara, 2011",-0.748704287,"Woody",123,"Turner, 1995","Defense investment","Endara, 2011",-0.97
"115","Seedlings",1450,"De la Cruz & Dirzo, 1987","herbivore damage","Endara, 2011",-0.049958375,"Seedlings",1450,"De la Cruz & Dirzo, 1987","herbivore damage","Endara, 2011",-0.05
"116","Woody",120,"Farji 2001","herbivore damage","Endara, 2011",0.9695286745,"Woody",120,"Farji 2001","herbivore damage","Endara, 2011",2.095
"117","Woody",480,"Howlett & Davidson, 2001","herbivore damage","Endara, 2011",0.244918662,"Woody",480,"Howlett & Davidson, 2001","herbivore damage","Endara, 2011",0.25
"118","Woody",1672,"Lowman, 1992","herbivore damage","Endara, 2011",-0.0775761874999999,"Woody",1672,"Lowman, 1992","herbivore damage","Endara, 2011",-0.695
"119","Woody",180,"Massey et al. 2007","herbivore damage","Endara, 2011",0.507977433,"Woody",180,"Massey et al. 2007","herbivore damage","Endara, 2011",0.56
